market	base_date	date_bfr	sales_bfr	date_aftr	sales_aftr	diff_days	delta	RN
1	2015-12-31	2015-12-30	2.16802858469103	NULL	NULL	1	0	1
1	2008-01-03	2008-01-02	1	2008-01-04	1.01518832990935	2	0.00759416495467502	1
1	2008-01-05	2008-01-04	1.01518832990935	2008-01-06	0.995761664915676	2	-0.00971333249683703	1
1	2008-01-20	2008-01-19	1.0930379414313	2008-01-21	1.07431490785887	2	-0.009361516786215	1
1	2008-01-30	2008-01-29	1.0817188691787	2008-01-31	1.07106068112388	2	-0.00532909402741	1
1	2008-02-15	2008-02-14	0.993599964500195	2008-02-16	1.03500823279129	2	0.0207041341455474	1
1	2008-02-24	2008-02-23	1.02651900031317	2008-02-25	1.02189008619531	2	-0.00231445705892996	1
1	2008-02-28	2008-02-27	1.027924137707	2008-02-29	1.04085632380501	2	0.00646609304900492	1
1	2008-03-01	2008-02-29	1.04085632380501	2008-03-02	0.987288065406751	2	-0.0267841291991295	1
1	2008-04-23	2008-04-22	0.969511332614614	2008-04-24	0.960198068577955	2	-0.0046566320183295	1
1	2008-04-25	2008-04-24	0.960198068577955	2008-04-26	0.978217271188669	2	0.009009601305357	1
1	2008-05-05	2008-05-04	1.09585965807476	2008-05-06	1.12578359044539	2	0.014961966185315	1
1	2008-05-13	2008-05-12	1.16869193521454	2008-05-14	1.18680619430943	2	0.00905712954744498	1
1	2008-05-15	2008-05-14	1.18680619430943	2008-05-16	1.21941144840227	2	0.01630262704642	1
1	2008-05-19	2008-05-18	1.1799034234471	2008-05-20	1.17335008764095	2	-0.00327666790307501	1
1	2008-05-22	2008-05-21	1.17048853020699	2008-05-23	1.20102974094121	2	0.01527060536711	1
1	2008-05-31	2008-05-30	1.11883089525357	2008-06-01	1.18200950004361	2	0.03158930239502	1
1	2008-06-08	2008-06-07	1.17084650942677	2008-06-09	1.13809907135736	2	-0.016373719034705	1
1	2008-06-10	2008-06-09	1.13809907135736	2008-06-11	1.11821283628562	2	-0.00994311753586996	1
1	2008-06-17	2008-06-16	1.16722490529001	2008-06-18	1.14763752272342	2	-0.0097936912832951	1
1	2008-06-21	2008-06-20	1.20135832552409	2008-06-22	1.21207498713363	2	0.00535833080477	1
1	2008-06-30	2008-06-29	1.27653640216399	2008-07-01	1.38259529757717	2	0.05302944770659	1
1	2008-07-02	2008-07-01	1.38259529757717	2008-07-03	1.38591228657549	2	0.00165849449916	1
1	2008-08-05	2008-08-04	1.66697522759895	2008-08-06	1.66343330440008	2	-0.00177096159943502	1
1	2008-08-08	2008-08-07	1.67217001651254	2008-08-09	1.68794325732554	2	0.00788662040650001	1
1	2008-08-13	2008-08-12	1.62203872514262	2008-08-14	1.59705349253533	2	-0.0124926163036451	1
1	2008-08-21	2008-08-20	1.54618883939332	2008-08-22	1.58158737412712	2	0.0176992673669	1
1	2008-08-30	2008-08-29	1.5633339812081	2008-08-31	1.53592272197475	2	-0.013705629616675	1
1	2008-09-02	2008-09-01	1.4329914755531	2008-09-03	1.43314764817734	2	7.80863121200293E-05	1
1	2008-09-17	2008-09-16	1.53322325946382	2008-09-18	1.53494986090784	2	0.000863300722010019	1
1	2008-09-22	2008-09-21	1.51587525562508	2008-09-23	1.50968664390165	2	-0.003094305861715	1
1	2008-09-30	2008-09-29	1.43571184856159	2008-10-01	1.25828184347461	2	-0.0887150025434901	1
1	2008-10-02	2008-10-01	1.25828184347461	2008-10-03	1.30466507043895	2	0.02319161348217	1
1	2008-10-06	2008-10-05	1.27138871252899	2008-10-07	1.25440009881582	2	-0.00849430685658503	1
1	2008-10-10	2008-10-09	1.24869120710693	2008-10-11	1.26800033556377	2	0.00965456422841993	1
1	2008-10-15	2008-10-14	1.22994253993433	2008-10-16	1.23747745619215	2	0.00376745812891	1
1	2008-10-26	2008-10-25	1.36903789679637	2008-10-27	1.35115910654505	2	-0.00893939512566	1
